,,,Bandar Kuota,,,,,,
,,,Saldo Stock,,,,,,
,,,,,,,,,,,,,
,Group,,,,,,,,,,,,,
,VOUCHER,,,,,,,,,,,,,
,Merk,Model,,,,,,,,,,
,VOUCER AXIS,< kosong >,,,,,,,,,,
001352,V. BYU 7.5 GB 7HR,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,1 PCS,0 PCS,0 PCS,
,,,,,Bee Accounting,,,,,,,,
,13/08/2026,,,,,,,,
Kode Item,Nama Item,ASBER 2 (C),BK CIJAMBE ,BK JH1 ,BK JH2 (C),BK5 CIGER ,BK6 ,BK7 ,BK8 BAKSAR ,
001380,V. BYU 8 GB 7HR (discontinue),0 PCS,2 PCS,0 PCS,0 PCS,0 PCS,2 PCS,0 PCS,0 PCS,
001390,V. BYU 9 GB 14HR,3 PCS,4 PCS,7 PCS,7 PCS,6 PCS,6 PCS,6 PCS,6 PCS,
001392,V. BYU 7 GB 28HR,10 PCS,7 PCS,12 PCS,9 PCS,6 PCS,6 PCS,5 PCS,6 PCS,
002436,V. BYU 6 GB 7HR,12 PCS,9 PCS,18 PCS,12 PCS,9 PCS,9 PCS,11 PCS,8 PCS,
002449,V. BYU 3 GB 1HR (discontinue),4 PCS,0 PCS,3 PCS,1 PCS,0 PCS,0 PCS,2 PCS,3 PCS,
002600,V. BYU 7.5 GB 5HR (discontinue),0 PCS,1 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
TOTAL,29.00,23.00,40.00,29.00,21.00,24.00,24.00,23.00,
Kode Item,Nama Item,BK9 BAKSAR ,BKC ,BUNISARI ,CICUKANG ,CIHAURKUK,CIKADUT 2,CIPADUNG 2 ,CIPAGALO ,
001352,V. BYU 7.5 GB 7HR,0 PCS,1 PCS,0 PCS,0 PCS,3 PCS,2 PCS,0 PCS,0 PCS,
001380,V. BYU 8 GB 7HR (discontinue),0 PCS,0 PCS,0 PCS,1 PCS,2 PCS,0 PCS,1 PCS,2 PCS,
001390,V. BYU 9 GB 14HR,6 PCS,5 PCS,7 PCS,5 PCS,7 PCS,6 PCS,6 PCS,6 PCS,
001392,V. BYU 7 GB 28HR,5 PCS,8 PCS,9 PCS,4 PCS,6 PCS,5 PCS,8 PCS,6 PCS,
002436,V. BYU 6 GB 7HR,9 PCS,9 PCS,17 PCS,10 PCS,9 PCS,12 PCS,11 PCS,9 PCS,
002449,V. BYU 3 GB 1HR (discontinue),2 PCS,0 PCS,0 PCS,0 PCS,3 PCS,3 PCS,2 PCS,0 PCS,
002600,V. BYU 7.5 GB 5HR (discontinue),0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
TOTAL,22.00,23.00,33.00,20.00,30.00,28.00,28.00,23.00,
Kode Item,Nama Item,CIPOREAT,CISA (C),CK (C),CL 1 ,CL 2 ,CL 3 ,CL 4 ,DM (C),
001352,V. BYU 7.5 GB 7HR,1 PCS,0 PCS,0 PCS,0 PCS,1 PCS,0 PCS,,0 PCS,
001380,V. BYU 8 GB 7HR (discontinue),0 PCS,1 PCS,3 PCS,1 PCS,1 PCS,0 PCS,,0 PCS,
001390,V. BYU 9 GB 14HR,5 PCS,5 PCS,5 PCS,6 PCS,5 PCS,3 PCS,5 PCS,6 PCS,
001392,V. BYU 7 GB 28HR,5 PCS,11 PCS,9 PCS,5 PCS,6 PCS,7 PCS,6 PCS,11 PCS,
002436,V. BYU 6 GB 7HR,7 PCS,12 PCS,10 PCS,8 PCS,9 PCS,5 PCS,9 PCS,13 PCS,
002449,V. BYU 3 GB 1HR (discontinue),0 PCS,0 PCS,3 PCS,2 PCS,0 PCS,2 PCS,,3 PCS,
002600,V. BYU 7.5 GB 5HR (discontinue),2 PCS,0 PCS,1 PCS,0 PCS,0 PCS,0 PCS,,0 PCS,
TOTAL,20.00,29.00,31.00,22.00,22.00,17.00,20.00,33.00,
Kode Item,Nama Item,Gudang,PC 3 (A),PC 4 (C),PC 5 (C),PD 1 (C),PD 2 (C),PD 3 (C),RK (C),
001352,V. BYU 7.5 GB 7HR,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001380,V. BYU 8 GB 7HR (discontinue),0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001390,V. BYU 9 GB 14HR,0 PCS,3 PCS,7 PCS,2 PCS,3 PCS,1 PCS,6 PCS,7 PCS,
001392,V. BYU 7 GB 28HR,0 PCS,11 PCS,12 PCS,10 PCS,11 PCS,10 PCS,3 PCS,13 PCS,
002436,V. BYU 6 GB 7HR,30 PCS,12 PCS,13 PCS,10 PCS,12 PCS,15 PCS,9 PCS,16 PCS,
002449,V. BYU 3 GB 1HR (discontinue),0 PCS,2 PCS,0 PCS,2 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
,,,,Bee Accounting,,,,,,,,
,13/08/2026,,,,,,,
Kode Item,Nama Item,Gudang,PC 3 (A),PC 4 (C),PC 5 (C),PD 1 (C),PD 2 (C),PD 3 (C),RK (C),
002600,V. BYU 7.5 GB 5HR (discontinue),0 PCS,1 PCS,0 PCS,0 PCS,0 PCS,3 PCS,0 PCS,0 PCS,
TOTAL,30.00,29.00,32.00,24.00,26.00,29.00,18.00,36.00,
Kode Item,Nama Item,SA (C),SS (C),TOTAL,,,,,,,
001352,V. BYU 7.5 GB 7HR,0 PCS,2 PCS,11 PCS,,,,,,,
001380,V. BYU 8 GB 7HR (discontinue),0 PCS,0 PCS,20 PCS,,,,,,,
001390,V. BYU 9 GB 14HR,5 PCS,6 PCS,212 PCS,,,,,,,
001392,V. BYU 7 GB 28HR,9 PCS,8 PCS,347 PCS,,,,,,,
002436,V. BYU 6 GB 7HR,12 PCS,10 PCS,494 PCS,,,,,,,
002449,V. BYU 3 GB 1HR (discontinue),0 PCS,1 PCS,43 PCS,,,,,,,
002600,V. BYU 7.5 GB 5HR (discontinue),0 PCS,2 PCS,14 PCS,,,,,,,
TOTAL,26.00,29.00,"1,141.00",,,,,,,
,Merk,Model,,,,,,,,,
,VOUCER INDOSAT,< kosong >,,,,,,,,,
Kode Item,Nama Item,ALFA 1 (C),ALFA 2 (C),ALFA 3 (C),ALFA 4 (C),ALFA 5 (C),ALFA 6 (C),ALFA 7 ,ASBER 1 (C),
001353,V. INDOSAT 9 GB FI 28H,2 PCS,2 PCS,1 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001360,V. INDOSAT 16 GB FI,3 PCS,1 PCS,1 PCS,1 PCS,2 PCS,2 PCS,1 PCS,1 PCS,
